NWCG_REPORTING_UNIT_NAME,FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
Gateway National Recreation Area,VITOLO,1992,Miscellaneous,B,40.584653,-73.88499,NY
Gateway National Recreation Area,JOE,1992,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,BUTTERFLY,1992,Fireworks,A,40.603718,-74.058914,NY
Gateway National Recreation Area,FOURTH,1992,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,POINT,1992,Miscellaneous,A,40.55,-73.9333,NY
Gateway National Recreation Area,FORT T.,1992,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,SWOFJULY01,1992,Arson,A,40.603727,-74.058908,NY
Gateway National Recreation Area,UK 01,1992,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,NO FIRE,1992,Miscellaneous,A,40.5667,-73.8667,NY
Gateway National Recreation Area,GKP GRASS,1992,Debris Burning,A,40.549349,-74.127461,NY
Gateway National Recreation Area,KING,1992,Miscellaneous,A,40.603729,-74.058927,NY
Gateway National Recreation Area,JOY,1992,Miscellaneous,A,40.584654,-73.884973,NY
Gateway National Recreation Area,BEACHCAMPF,1992,Campfire,A,40.60372,-74.05892,NY
Gateway National Recreation Area,GRANTON,1992,Miscellaneous,A,40.603729,-74.058927,NY
Gateway National Recreation Area,TARDY,1992,Miscellaneous,A,40.584643,-73.884979,NY
Gateway National Recreation Area,DELINQUENT,1992,Miscellaneous,A,40.584644,-73.884985,NY
Gateway National Recreation Area,SMALL,1992,Miscellaneous,A,40.603722,-74.058922,NY
Gateway National Recreation Area,SWAMPOAK,1992,Children,B,40.603727,-74.058908,NY
Gateway National Recreation Area,DELAYED,1992,Miscellaneous,A,40.603729,-74.058927,NY
Gateway National Recreation Area,LASTJOKE,1992,Miscellaneous,B,40.603714000000004,-74.058929,NY
Gateway National Recreation Area,LATE,1992,Miscellaneous,B,40.584653,-73.88499,NY
Gateway National Recreation Area,HAMILTON,1993,Miscellaneous,A,40.603706,-74.058943,NY
Gateway National Recreation Area,PLANO,1993,Miscellaneous,B,40.6037,-74.058934,NY
Gateway National Recreation Area,STUART,1993,Miscellaneous,B,40.603706,-74.058943,NY
Gateway National Recreation Area,WHICH,1993,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,EIGHTFIRES,1993,Miscellaneous,B,40.6037,-74.058934,NY
Gateway National Recreation Area,WHAT,1993,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,ROADKILL,1993,Children,A,40.584779,-73.884935,NY
Gateway National Recreation Area,FLARE,1993,Arson,B,40.584779,-73.884935,NY
Gateway National Recreation Area,MELVIN,1993,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,NORTH,1993,Miscellaneous,A,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,SMALLONE,1993,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,KING,1993,Miscellaneous,C,40.584643,-73.88498100000001,NY
Gateway National Recreation Area,FORCE,1993,Miscellaneous,A,40.603724,-74.058924,NY
Gateway National Recreation Area,RIDDLE,1993,Miscellaneous,A,40.603727,-74.058933,NY
Gateway National Recreation Area,BARREN1,1993,Miscellaneous,B,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,CARELESS,1993,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,BARREN 2,1993,Miscellaneous,B,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,INLET,1993,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,NCHANNEL,1993,Miscellaneous,A,40.603734,-74.05890500000001,NY
Gateway National Recreation Area,WESTON,1993,Miscellaneous,A,40.584653,-73.88499,NY
Gateway National Recreation Area,DERRICK,1993,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,GARDEN1,1993,Miscellaneous,B,40.603706,-74.058943,NY
Gateway National Recreation Area,GARDEN2,1993,Miscellaneous,B,40.603706,-74.058943,NY
Gateway National Recreation Area,FELIX,1993,Miscellaneous,A,40.603727,-74.058908,NY
Gateway National Recreation Area,NORTH FORT,1993,Miscellaneous,A,40.584779,-73.884935,NY
Gateway National Recreation Area,DESCARTE,1993,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,FIREWORKS,1993,Miscellaneous,A,40.603706,-74.058943,NY
Gateway National Recreation Area,NEWGATE,1993,Fireworks,B,40.603706,-74.058943,NY
Gateway National Recreation Area,BATTALION,1993,Miscellaneous,A,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,BRIDGE UP,1993,Miscellaneous,B,40.584653,-73.88499,NY
Gateway National Recreation Area,RIVERSIDE,1993,Miscellaneous,A,40.603706,-74.058943,NY
Gateway National Recreation Area,ED,1993,Fireworks,A,40.603706,-74.058943,NY
Gateway National Recreation Area,HISTORICAL,1993,Miscellaneous,A,40.603729,-74.058927,NY
Gateway National Recreation Area,THEFORTH,1993,Miscellaneous,A,40.603706,-74.058943,NY
Gateway National Recreation Area,WOOD CHIP,1993,Miscellaneous,A,40.584548,-73.885021,NY
Gateway National Recreation Area,TILDEN,1993,Miscellaneous,A,40.563977,-73.88847700000001,NY
Gateway National Recreation Area,GKMARINA,1993,Smoking,A,40.549349,-74.127461,NY
Gateway National Recreation Area,HARRIS,1993,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,RIIS,1993,Miscellaneous,A,40.5667,-73.8667,NY
Gateway National Recreation Area,FLOYD,1993,Miscellaneous,A,40.584653,-73.88499,NY
Gateway National Recreation Area,GKCOMPLEX,1993,Children,A,40.549349,-74.127461,NY
Gateway National Recreation Area,SWAMP,1993,Miscellaneous,A,40.6037,-74.058934,NY
Gateway National Recreation Area,BARREN3,1993,Miscellaneous,B,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,HAMILTON2,1993,Miscellaneous,A,40.603706,-74.058943,NY
Gateway National Recreation Area,BARREN4,1993,Miscellaneous,A,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,GERRITSON2,1993,Miscellaneous,B,40.603687,-74.05891700000001,NY
Gateway National Recreation Area,RIIS2,1993,Miscellaneous,A,40.5667,-73.8667,NY
Gateway National Recreation Area,BANNERS,1993,Miscellaneous,A,40.6,-73.8833,NY
Gateway National Recreation Area,PHEASANT,1995,Miscellaneous,A,40.5856,-73.8883,NY
Gateway National Recreation Area,MILLER1,1995,Miscellaneous,B,40.5667,-74.1,NY
Gateway National Recreation Area,CROOKES,1995,Miscellaneous,B,40.5333,-74.1333,NY
Gateway National Recreation Area,TAMARACK,1995,Miscellaneous,C,40.5833,-73.8833,NY
Gateway National Recreation Area,MILLER2,1995,Miscellaneous,B,40.5667,-74.1,NY
Gateway National Recreation Area,MILLER3,1995,Miscellaneous,B,40.5667,-74.1,NY
Gateway National Recreation Area,GKP1,1995,Miscellaneous,C,40.55,-74.1333,NY
Gateway National Recreation Area,SURFCLUB,1995,Miscellaneous,B,40.55,-73.9333,NY
Gateway National Recreation Area,AIRPLANE,1995,Miscellaneous,D,40.55,-74.1333,NY
Gateway National Recreation Area,GKP2,1995,Miscellaneous,C,40.55,-74.1333,NY
Gateway National Recreation Area,ACADEMY,1995,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,RIIS,1995,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,BOATRAMP,1995,Miscellaneous,A,40.5833,-73.8833,NY
Gateway National Recreation Area,TILDEN,1995,Debris Burning,A,40.5667,-73.8833,NY
Gateway National Recreation Area,GKP3,1995,Miscellaneous,B,40.5475,-74.1194,NY
Gateway National Recreation Area,SC5,1995,Children,A,40.6567,-73.8547,NY
Gateway National Recreation Area,BIGEPOND,1995,Miscellaneous,D,40.625,-73.8242,NY
Gateway National Recreation Area,GKP4,1995,Miscellaneous,B,40.55,-74.1333,NY
Gateway National Recreation Area,JBWR,1995,Miscellaneous,A,40.6367,-73.8303,NY
Gateway National Recreation Area,OAK,1995,Children,B,40.5667,-74.1,NY
Gateway National Recreation Area,GKP5,1995,Miscellaneous,B,40.55,-74.1333,NY
Gateway National Recreation Area,GKP6,1995,Miscellaneous,B,40.55,-74.1333,NY
Gateway National Recreation Area,SWAMP,1995,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,MALL,1995,Smoking,A,40.5667,-73.8667,NY
Gateway National Recreation Area,JBWR2,1995,Miscellaneous,A,40.63,-73.8272,NY
Gateway National Recreation Area,WILDLIFE,1995,Miscellaneous,A,40.6253,-73.8294,NY
Gateway National Recreation Area,GKP7,1995,Miscellaneous,B,40.55,-74.1333,NY
Gateway National Recreation Area,CROSSBAY,1995,Miscellaneous,A,40.6253,-73.8261,NY
Gateway National Recreation Area,FOX,1995,Miscellaneous,A,40.5483,-74.1147,NY
Gateway National Recreation Area,THETIP,1995,Miscellaneous,B,40.55,-73.9333,NY
Gateway National Recreation Area,GKP8,1995,Miscellaneous,B,40.55,-74.1333,NY
Gateway National Recreation Area,HOT SPOT,1996,Miscellaneous,B,40.5503,-74.1239,NY
Gateway National Recreation Area,HOT AGAIN,1996,Miscellaneous,C,40.5506,-74.1222,NY
Gateway National Recreation Area,RCPT1,1996,Miscellaneous,A,40.55,-73.9333,NY
Gateway National Recreation Area,GK3,1996,Miscellaneous,D,40.55,-74.1333,NY
Gateway National Recreation Area,BIM2,1996,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,SG1,1996,Miscellaneous,A,40.5575,-73.8992,NY
Gateway National Recreation Area,BP1,1996,Miscellaneous,B,40.5833,-73.8833,NY
Gateway National Recreation Area,BP2,1996,Miscellaneous,B,40.56,-73.8897,NY
Gateway National Recreation Area,SG2,1996,Miscellaneous,A,40.5581,-73.8986,NY
Gateway National Recreation Area,RP1,1996,Campfire,A,40.5667,-73.8775,NY
Gateway National Recreation Area,MF1,1996,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,RP2,1996,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,PB1,1996,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,FTT1,1996,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,GT1,1996,Miscellaneous,A,40.5833,-73.8833,NY
Gateway National Recreation Area,FBF1,1996,Miscellaneous,B,40.5833,-73.8833,NY
Gateway National Recreation Area,MF33,1996,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,SWAMP,1996,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,GRASSPILE,1996,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,FOOTBRIDGE,1996,Miscellaneous,A,40.55,-74.1333,NY
Gateway National Recreation Area,MILLER,1996,Miscellaneous,B,40.5667,-74.1,NY
Gateway National Recreation Area,OAK,1996,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,WADSWORTH,1996,Miscellaneous,A,40.6017,-74.0544,NY
Gateway National Recreation Area,ROCKPOINT,1997,Miscellaneous,B,40.5628,-73.9083,NY
Gateway National Recreation Area,MILLROAD,1997,Miscellaneous,A,40.55,-74.1333,NY
Gateway National Recreation Area,REFUGE,1997,Miscellaneous,A,40.615,-73.8197,NY
Gateway National Recreation Area,HANGARA1,1997,Miscellaneous,A,40.5833,-73.8833,NY
Gateway National Recreation Area,MILLER1,1997,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,NAVYPIER,1997,Miscellaneous,B,40.5833,-73.8833,NY
Gateway National Recreation Area,PIERROCK,1997,Miscellaneous,B,40.595332,-73.904162,NY
Gateway National Recreation Area,BIGJOHN1,1997,Miscellaneous,B,40.6208,-73.8242,NY
Gateway National Recreation Area,SHOREROAD,1997,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,MILLER2,1997,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,RUNWAY624,1997,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,NORTH40,1997,Miscellaneous,C,40.6,-73.9,NY
Gateway National Recreation Area,FLOYD2,1997,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,MILLER3,1997,Miscellaneous,A,40.5667,-74.1,NY
Gateway National Recreation Area,FOUNTAIN,1997,Debris Burning,B,40.65,-73.8667,NY
Gateway National Recreation Area,BREEZY,1997,Miscellaneous,A,40.5611,-73.8861,NY
Gateway National Recreation Area,FOUNTAIN2,1997,Miscellaneous,B,40.65,-73.8667,NY
Gateway National Recreation Area,FOUNTAIN3,1997,Miscellaneous,B,40.65,-73.8667,NY
Gateway National Recreation Area,CREEK005,1998,Miscellaneous,A,40.6528,-73.8486,NY
Gateway National Recreation Area,CREEK6,1998,Miscellaneous,A,40.6528,-73.85,NY
Gateway National Recreation Area,CREEK7,1998,Miscellaneous,B,40.6542,-73.8556,NY
Gateway National Recreation Area,CREEK009,1998,Miscellaneous,A,40.6561,-73.8558,NY
Gateway National Recreation Area,BAYSEVEN,1998,Campfire,A,40.5653,-73.8733,NY
Gateway National Recreation Area,CREEK012,1998,Miscellaneous,A,40.6542,-73.8561,NY
Gateway National Recreation Area,NCBEAST,1998,Campfire,A,40.6386,-73.8328,NY
Gateway National Recreation Area,CREEK015,1998,Miscellaneous,A,40.6569,-73.8553,NY
Gateway National Recreation Area,YACHTCLUB,1998,Miscellaneous,B,40.5639,-73.9106,NY
Gateway National Recreation Area,NORTHSPUR,1998,Smoking,A,40.6286,-73.8283,NY
Gateway National Recreation Area,PENN1,1999,Miscellaneous,B,40.65,-73.8667,NY
Gateway National Recreation Area,GRKILLS001,1999,Miscellaneous,C,40.5531,-74.1286,NY
Gateway National Recreation Area,NEPONSIT1,1999,Miscellaneous,A,40.5667,-73.8667,NY
Gateway National Recreation Area,PENN02,1999,Miscellaneous,B,40.65,-73.8667,NY
Gateway National Recreation Area,WADSWORTH,1999,Miscellaneous,A,40.6072,-74.0578,NY
Gateway National Recreation Area,GRKILLS002,1999,Miscellaneous,C,40.5467,-74.1319,NY
Gateway National Recreation Area,GRKILLS003,1999,Miscellaneous,A,40.5503,-74.1214,NY
Gateway National Recreation Area,GRKILLS004,1999,Miscellaneous,A,40.5503,-74.1214,NY
Gateway National Recreation Area,RAPTOR01,1999,Miscellaneous,A,40.6,-73.8833,NY
Gateway National Recreation Area,NFORTY01,1999,Miscellaneous,A,40.6,-73.9,NY
Gateway National Recreation Area,SWAMP1,1999,Miscellaneous,A,40.5683,-74.0997,NY
Gateway National Recreation Area,GREENWAY01,1999,Smoking,A,40.6,-73.9,NY
Gateway National Recreation Area,SWAMP2,1999,Miscellaneous,A,40.5683,-74.0997,NY
Gateway National Recreation Area,NEPONSIT2,1999,Miscellaneous,A,40.5667,-73.8667,NY
Gateway National Recreation Area,CLUBFED1,1999,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,CLUBFED2,1999,Miscellaneous,A,40.5667,-73.8833,NY
Gateway National Recreation Area,MILLER1,1999,Smoking,B,40.5683,-74.0997,NY
Gateway National Recreation Area,MILLER2,1999,Campfire,A,40.5683,-74.0997,NY
Gateway National Recreation Area,FOUNTAVE,1999,Miscellaneous,B,40.65,-73.8667,NY
Gateway National Recreation Area,GREENWAY02,1999,Miscellaneous,C,40.6,-73.9,NY
Gateway National Recreation Area,EASTPOND,1999,Miscellaneous,A,40.6169,-73.8233,NY
Sagamore Hill National Historic Site,ROGERS,1994,Equipment Use,B,40.885762,-73.49727299999999,NY
Saratoga National Historic Park,BURDYL,1993,Lightning,B,42.9799,-73.64695999999999,NY
Saratoga National Historic Park,BURDYL 2,1993,Lightning,B,42.97976,-73.64716999999999,NY
Saratoga National Historic Park,WEST MOUNT,1994,Fireworks,B,43.01594,-73.66757,NY
Saratoga National Historic Park,PARILLO,1995,Campfire,B,43.00122,-73.61976999999999,NY
Saratoga National Historic Park,GROZNIAK,1997,Debris Burning,C,43.0149,-73.66764,NY
Home of Franklin D. Roosevelt National Historic Site,COVETRAIL,2002,Children,A,41.76323,-73.94192,NY
Fire Island National Seashore,FOLLIE,2001,Children,C,40.7686,-72.8219,NY
Fire Island National Seashore,NACHOS,2002,Miscellaneous,B,40.7708,-72.8325,NY
Fire Island National Seashore,JOB#1,2002,Arson,A,40.69,-72.99,NY
Fire Island National Seashore,JOB#2,2002,Arson,A,40.7747,-72.835,NY
Fire Island National Seashore,JOB#3,2002,Arson,A,40.7742,-72.8353,NY
Fire Island National Seashore,JOB#4,2002,Arson,A,40.7739,-72.8353,NY
Fire Island National Seashore,TURTLE,2002,Arson,B,40.69,-72.99,NY
Gateway National Recreation Area,EASTPOND1,2000,Miscellaneous,B,40.6194,-73.8244,NY
Gateway National Recreation Area,GRKILLS001,2000,Miscellaneous,C,40.5472,-74.1325,NY
Gateway National Recreation Area,GRKILLS002,2000,Miscellaneous,B,40.5472,-74.1353,NY
Gateway National Recreation Area,SCREEK6,2000,Miscellaneous,B,40.6528,-73.8567,NY
Gateway National Recreation Area,SCREEK11,2000,Miscellaneous,A,40.6528,-73.8528,NY
Gateway National Recreation Area,SCREEK18,2000,Miscellaneous,A,40.6528,-73.8519,NY
Gateway National Recreation Area,SCREEK20,2000,Miscellaneous,B,40.6536,-73.8497,NY
Gateway National Recreation Area,SCREEK23,2000,Miscellaneous,B,40.6569,-73.8553,NY
Gateway National Recreation Area,DRIFTFENCE,2001,Miscellaneous,C,40.655,-73.8578,NY
Gateway National Recreation Area,624TRASH,2001,Miscellaneous,B,40.5958,-73.8944,NY
Gateway National Recreation Area,CORNER,2001,Miscellaneous,B,40.6536,-73.8503,NY
Gateway National Recreation Area,N40,2001,Miscellaneous,B,40.5986,-73.9042,NY
Gateway National Recreation Area,T4LOT,2001,Miscellaneous,B,40.5628,-73.8847,NY
Gateway National Recreation Area,BULKHEAD,2001,Miscellaneous,B,40.5978,-73.8817,NY
Gateway National Recreation Area,SANDPATCH,2001,Miscellaneous,B,40.6564,-73.8553,NY
Gateway National Recreation Area,SANDPATCH2,2001,Miscellaneous,B,40.6558,-73.8572,NY
Gateway National Recreation Area,COVE,2001,Miscellaneous,B,40.6514,-73.8492,NY
Gateway National Recreation Area,GKILLSPK,2001,Miscellaneous,A,40.5458,-74.125,NY
Gateway National Recreation Area,NEPONSIT,2001,Miscellaneous,A,40.5708,-73.8661,NY
Gateway National Recreation Area,RAPTORPT,2001,Miscellaneous,B,40.6042,-73.8861,NY
Gateway National Recreation Area,AVIATION,2001,Miscellaneous,A,40.5889,-73.8792,NY
Gateway National Recreation Area,BULKHEAD2,2001,Miscellaneous,A,40.5953,-73.8811,NY
Gateway National Recreation Area,MILLERFLD,2001,Miscellaneous,A,40.5667,-74.0928,NY
Gateway National Recreation Area,GRKILL001,2002,Miscellaneous,C,40.5508,-74.1217,NY
Gateway National Recreation Area,SPRINGC 03,2002,Miscellaneous,B,40.6553,-73.8542,NY
Gateway National Recreation Area,SPRINGC 04,2002,Miscellaneous,B,40.6533,-73.8497,NY
Gateway National Recreation Area,FLOYD 01,2002,Fireworks,A,40.5925,-73.8997,NY
Gateway National Recreation Area,CURVY FIRE,2002,Miscellaneous,C,40.6214,-73.8244,NY
Gateway National Recreation Area,SOUTHTRAIL,2002,Miscellaneous,A,40.6156,-73.8214,NY
Gateway National Recreation Area,EBOARDWALK,2002,Arson,A,40.6208,-73.8225,NY
Gateway National Recreation Area,SPRINGC 05,2002,Miscellaneous,B,40.6533,-73.8494,NY
Gateway National Recreation Area,NORTHFORT1,2002,Equipment Use,A,40.6031,-73.895,NY
Gateway National Recreation Area,SPRINGC12,2002,Miscellaneous,A,40.6531,-73.8542,NY
Gateway National Recreation Area,SPRINC10,2002,Miscellaneous,A,40.6569,-73.8542,NY
Gateway National Recreation Area,BACKFORT,2002,Smoking,A,40.5619,-73.8911,NY
Gateway National Recreation Area,FLOYD02,2002,Equipment Use,A,40.5908,-73.8975,NY
Gateway National Recreation Area,GRKILL001,2003,Miscellaneous,C,40.5542,-74.1267,NY
Gateway National Recreation Area,GRKILL0401,2004,Miscellaneous,B,40.555788,-74.127081,NY
Gateway National Recreation Area,GRKILL0403,2004,Miscellaneous,B,40.555402,-74.127662,NY
Gateway National Recreation Area,GRKILL05,2004,Miscellaneous,A,40.555104,-74.126962,NY
Gateway National Recreation Area,GRKILL04,2004,Miscellaneous,A,40.555393,-74.12651,NY
Gateway National Recreation Area,JBSP2,2005,Miscellaneous,C,40.653529999999996,-73.850833,NY
Gateway National Recreation Area,MARINA,2005,Miscellaneous,A,40.585957,-73.89794300000001,NY
Gateway National Recreation Area,DEADHORSES,2005,Miscellaneous,A,40.5842,-73.8953,NY
Gateway National Recreation Area,BATHARRISW,2006,Miscellaneous,A,40.5603,-73.8956,NY
Gateway National Recreation Area,SPRING-1,2006,Miscellaneous,C,40.603691999999995,-74.05891700000001,NY
Gateway National Recreation Area,GK06-01,2006,Miscellaneous,C,40.5461,-74.1194,NY
Gateway National Recreation Area,GK06-02,2006,Miscellaneous,B,40.55,-74.1236,NY
Gateway National Recreation Area,JBUSPRING2,2006,Miscellaneous,C,40.6569,-73.8547,NY
Gateway National Recreation Area,GK06-03,2006,Miscellaneous,A,40.5472,-74.1336,NY
Gateway National Recreation Area,JBUSPRING3,2006,Miscellaneous,A,40.6533,-73.8556,NY
Gateway National Recreation Area,GK06-04,2006,Miscellaneous,B,40.548499,-74.114336,NY
Gateway National Recreation Area,SWAMP1,2006,Miscellaneous,A,40.5722,-74.1039,NY
Gateway National Recreation Area,N40,2006,Miscellaneous,B,40.598835,-73.8987,NY
Gateway National Recreation Area,SHORE ROAD,2006,Miscellaneous,A,40.5589,-73.8922,NY
Gateway National Recreation Area,JBUSPRING5,2006,Miscellaneous,A,40.6533,-73.8531,NY
Gateway National Recreation Area,JBUSPRING6,2006,Miscellaneous,B,40.6519,-73.8497,NY
Gateway National Recreation Area,GOLF,2006,Miscellaneous,C,40.5922,-73.9039,NY
Gateway National Recreation Area,SHORE RD 2,2006,Miscellaneous,A,40.56,-73.8881,NY
Gateway National Recreation Area,JBUSPRING7,2006,Miscellaneous,B,40.6517,-73.8492,NY
Gateway National Recreation Area,GK07-001,2007,Miscellaneous,C,40.5544,-74.1353,NY
Gateway National Recreation Area,MF-1,2007,Miscellaneous,A,40.5719,-74.1006,NY
Gateway National Recreation Area,JBU2,2007,Miscellaneous,B,40.6536,-73.8525,NY
Gateway National Recreation Area,JBU4,2007,Miscellaneous,B,40.6533,-73.8531,NY
Gateway National Recreation Area,JBU5,2007,Miscellaneous,B,40.6528,-73.8522,NY
Gateway National Recreation Area,JBU11,2007,Miscellaneous,B,40.6564,-73.855,NY
Gateway National Recreation Area,JBU15,2007,Miscellaneous,A,40.5944,-73.8806,NY
Gateway National Recreation Area,JBU16,2007,Miscellaneous,A,40.5961,-73.8811,NY
Gateway National Recreation Area,JBU17,2007,Miscellaneous,A,40.6506,-73.8528,NY
Gateway National Recreation Area,CLUELESS,2008,Miscellaneous,B,40.6006,-73.895,NY
Gateway National Recreation Area,CAYENNE,2008,Miscellaneous,A,40.6192,-73.8258,NY
Gateway National Recreation Area,NORTHCOVE,2008,Miscellaneous,B,40.6525,-73.8514,NY
Gateway National Recreation Area,NORDTRAIL,2008,Miscellaneous,B,40.6572,-73.8547,NY
Gateway National Recreation Area,GK0801MFBEACH,2008,Miscellaneous,A,40.55,-74.1239,NY
Gateway National Recreation Area,GKWETLAND0801,2008,Miscellaneous,C,40.55,-74.1239,NY
Gateway National Recreation Area,HANGARB,2008,Miscellaneous,A,40.595,-73.8808,NY
Gateway National Recreation Area,SPRINGCREEK,2008,Miscellaneous,B,40.6517,-73.8547,NY
Gateway National Recreation Area,GK0802SALTMARSH,2008,Miscellaneous,A,40.55,-74.1239,NY
Gateway National Recreation Area,GK0803SM,2008,Miscellaneous,B,40.55,-74.1239,NY
Gateway National Recreation Area,GK0804SALTMARSH2,2008,Miscellaneous,A,40.55,-74.1239,NY
Gateway National Recreation Area,SANITATION,2008,Miscellaneous,A,40.5931,-73.8803,NY
Gateway National Recreation Area,GK0805WETLANDRD2,2008,Miscellaneous,C,40.55,-74.1239,NY
